id,pincode,created_at,updated_at
1,18000,2023-07-30,2023-07-30
2,18001,2023-07-30,2023-07-30
3,18002,2023-07-30,2023-07-30
4,18003,2023-07-30,2023-07-30
5,18005,2023-07-30,2023-07-30
6,18006,2023-07-30,2023-07-30
7,18007,2023-07-30,2023-07-30
8,18008,2023-07-30,2023-07-30
9,18009,2023-07-30,2023-07-30
10,18014,2023-07-30,2023-07-30
11,18015,2023-07-30,2023-07-30
12,18018,2023-07-30,2023-07-30
13,18020,2023-07-30,2023-07-30
14,18021,2023-07-30,2023-07-30
15,18023,2023-07-30,2023-07-30
16,18024,2023-07-30,2023-07-30
17,18028,2023-07-30,2023-07-30
18,18029,2023-07-30,2023-07-30
19,18030,2023-07-30,2023-07-30
20,18031,2023-07-30,2023-07-30
21,18032,2023-07-30,2023-07-30
22,18034,2023-07-30,2023-07-30
23,18035,2023-07-30,2023-07-30
24,18036,2023-07-30,2023-07-30
25,19001,2023-07-30,2023-07-30
26,19003,2023-07-30,2023-07-30
27,19010,2023-07-30,2023-07-30
28,19011,2023-07-30,2023-07-30
29,19012,2023-07-30,2023-07-30
30,19013,2023-07-30,2023-07-30
31,19014,2023-07-30,2023-07-30
32,19015,2023-07-30,2023-07-30
33,19016,2023-07-30,2023-07-30
34,19017,2023-07-30,2023-07-30
35,19018,2023-07-30,2023-07-30
36,19019,2023-07-30,2023-07-30
37,19020,2023-07-30,2023-07-30
38,19021,2023-07-30,2023-07-30
39,19022,2023-07-30,2023-07-30
40,19023,2023-07-30,2023-07-30
41,19024,2023-07-30,2023-07-30
42,19025,2023-07-30,2023-07-30
43,19026,2023-07-30,2023-07-30
44,19027,2023-07-30,2023-07-30
45,19028,2023-07-30,2023-07-30
46,19029,2023-07-30,2023-07-30
47,19030,2023-07-30,2023-07-30
48,19031,2023-07-30,2023-07-30
49,19032,2023-07-30,2023-07-30
50,19033,2023-07-30,2023-07-30
51,19034,2023-07-30,2023-07-30
52,19035,2023-07-30,2023-07-30
53,19036,2023-07-30,2023-07-30
54,19037,2023-07-30,2023-07-30
55,19038,2023-07-30,2023-07-30
56,19039,2023-07-30,2023-07-30
57,19040,2023-07-30,2023-07-30
58,19041,2023-07-30,2023-07-30
59,19042,2023-07-30,2023-07-30
60,19043,2023-07-30,2023-07-30
61,19044,2023-07-30,2023-07-30
62,19045,2023-07-30,2023-07-30
63,19046,2023-07-30,2023-07-30
64,19047,2023-07-30,2023-07-30
65,19048,2023-07-30,2023-07-30
66,19049,2023-07-30,2023-07-30
67,19050,2023-07-30,2023-07-30
